count_words,count_mentions,count_hashtags,count_capital_words,count_excl_quest_marks,count_urls,count_emojis,ANSWER,clean_text
19,0,1,0,1,0,0,No,favorit song like mani song favorit
8,0,0,0,2,0,0,No,haha jk
13,0,0,0,6,0,0,No,quot hey angel duh sexi quot realli thank haha
3,0,0,0,0,0,0,No,
5,0,0,2,1,0,0,No,meowww rawr
26,0,0,0,6,0,0,No,makeup tip suck makeup lol sure like tell wht wnna know like wht use
21,0,1,1,4,0,0,No,apriiiiiiiiiiiil miss uuuu emma btw haha emma hahahahah missssseddd yuhhhhh
12,0,0,0,3,0,0,No,morn night person night shure
10,0,0,0,1,0,0,No,trust person alreadi answrd
16,0,0,0,5,0,0,No,trust person ye veryy trustin person may help yuh
26,2,0,2,9,0,0,No,best friend ahaha yess cours aint dat rite haha awesom tho bck lol jk
29,0,0,0,2,0,0,No,talker listen listen definit chuz get cut alot listen ignor pplz
24,0,0,0,4,0,0,No,yuh singl readi mingl hahaha yup bhut not lookin man rite atm chuz dey much drama
6,0,0,0,3,0,0,No,ask someth
49,0,0,2,3,0,0,No,bahahahaha took longer enough gee girl hahah no total okay want play guess hahaha fuckinggg love hahahahhaahhaha ikrr im slow american wht say lmfaoo hahaha aww hahaha
6,0,0,0,4,0,0,No,bahahahahhaha lmaoo
12,0,0,1,2,0,0,No,bitch thee bomb like tick tick hahah thank
34,0,0,2,8,0,0,No,pleas sing cover justin bieber song hahaha dont sing lol srri im horribl btw dedic quot smile quot yuh play
11,0,0,0,2,0,0,No,cat dog dog im allerg cat
8,0,0,0,3,0,0,No,chocol vanilla chocol bahah
42,0,2,1,9,0,0,No,definit true learnin year cuz frensh origin haha ahhh wow yr man gorgeou languag love first year learnin haha newbi
23,0,0,0,5,0,0,No,watch bieber oprah well sortaa got wtch thee charic part she awesom hbu
23,0,0,0,2,0,0,No,believ life death ye cours call etern god heaven
21,0,0,0,3,0,0,No,believ luck ye bhut think luck bless god actual opinion
21,0,1,0,2,0,0,No,believ intellig life planet god creat hellz ye
29,0,0,0,3,0,0,No,consid good dancer hahaha bitch ing lmao kinda think lmao hve black ye haha
30,0,0,2,5,0,0,No,bf nope bhut not bf doesnt mean world end guess im wait ya kno hbu mama
21,0,0,0,3,0,0,No,favorit youtub star actual justin bieber ofcours amp amp scipio mondai
27,0,1,0,6,0,0,No,memori like forget actual whole experi fake friend
13,0,0,0,2,0,0,No,pierc yupper nose cartilag pierc
22,0,1,0,3,0,0,No,scar bodi get hahaha strang
21,0,0,2,4,0,0,No,like atlanta ga ye love atl great place live wish live
46,0,1,3,12,0,0,No,think size fat tri size end year omg no way actual small chang thee way look anyon bhut yourslf kay
19,0,1,0,2,0,0,No,think good friend fuck ye think haha
41,0,0,0,6,0,0,No,watch american idol vote season awww man remind wtch sometim bhut love big mike pplz realli wrong bout let kati go argh
18,0,0,0,3,0,0,No,yuh stalker hell ye lot that includ yuh
23,0,1,0,3,0,0,No,listen hater pretti thank gurl boy realli appreci
12,0,0,1,1,0,0,No,favorit store atm rue forev
12,0,0,0,1,0,0,No,growl meowl tht word haha
24,0,0,1,2,0,0,No,guesss idk hoe get cha cup blackberri hint lemon ice tea dayumm hahah jk brook
42,0,0,0,22,0,0,No,haa guessedd righhtttt dr maryyyy ahhh ilove pictur mayb becuas youhr babe courrseee dude hahahahaha awhhh lol think love chuz im lol jk love yuh
23,0,0,0,2,0,0,No,haaa qud sorri abouht quot hoe quot thinq iwa mad lol lmfao haha nahh badd
24,0,0,0,8,0,0,No,haha ever franc pfftt nahhh hve never outta countri argh hve yuh haha
30,0,0,0,6,0,0,No,haha check insid ur closet mind find lmao kk lemm get ass toliet seat ill check mwahah jk
28,0,0,16,12,0,0,No,haha nope im not taquisha either talk alot twitter omg tell ughh grrr rawrr bianca lmao idkk tell
10,0,0,3,4,0,0,No,hahah guess mari lol hahahaha
14,0,0,0,7,0,0,No,hahah okey dokey sweet thang mwahaha sweet thang love
24,0,0,1,3,0,0,No,hahah funni defend beiber kid amp also funni stalk whole twitter nice goin bitch
9,0,0,4,8,0,0,No,hahaha nope uhhhhh omg taquisha lol
14,0,0,0,2,0,0,No,ever lick thee floor hahaha yup job
21,0,0,2,3,0,0,No,seen justin bieber person nope wish bhut hey might someday rite haha hbu
23,0,0,0,2,0,0,No,oken bone haha nahh ive fractur thumb bhut itz good lol
21,0,0,1,3,0,0,No,ever itellyouthat com go tell someth world hahah ohkay
13,0,0,0,3,0,0,No,ever heart oken yup yup
32,0,1,1,5,0,0,No,hehe yup awesom pronunci incred haaard haha haha lol man hvnt even gotten dat part yet fml hah
11,0,0,0,1,0,0,No,hello friend also name april nice
8,0,0,0,3,0,0,No,hello hey how yah momma
28,0,2,0,4,0,0,No,hellz yeahh cours qoinqq wannah quy like duhh ahahaha wuzz funn lmao
34,0,0,1,9,0,0,No,hey name april haha peopl name april alway cool lol hahaha ohh cool wait yuh thee april twitter april haha yay beast yo haa
32,0,1,3,8,0,0,No,hey amaz nice sweet girl pretti awwhhh thank yuh jacob ur realli nice might new besti thank yuh much
18,0,0,0,13,0,0,No,heyyy ailll iloveyhuuu muchooo heyi marribbbiii lmao iloveyuhhh muchooo moeee yuh goin tmrw
13,0,0,0,13,0,0,No,heyyyyyi doin im good thankyuh heyyy hbu
17,0,0,0,16,0,0,No,heyyyyyyyi wat heyi ghurrr wuzz upp haha nuttin much busyy hbu
7,0,0,0,3,0,0,No,hi april heyi
23,0,0,0,5,0,0,No,mani languag speak umm think bhut english first im learnin french hbu
20,0,0,0,2,0,0,No,would describ person hmmm person root word lol umm probss bubbl nice honest sumtym
14,0,0,0,2,0,0,No,would describ word bubbl funni
20,0,0,0,4,0,0,No,love hair ilovey thank alot bhut alot keep wit wanna trade haha
18,0,0,1,4,0,0,No,love youu chica no no no love youuu moree haha
10,0,0,0,4,0,0,No,love youuuuuuu ifuckinlovey xox ha
43,0,1,1,5,0,0,No,speak english frensh littl arab cuz egypt lotta time omg realli cool that awesom yeah wanna learn languag bhut french alreadi enuff deal wit ha
21,0,0,0,2,0,0,No,think ur not pretti sorri oh that wht think dnt sorri hahaha silli goos
38,0,1,0,9,0,0,No,bore tell someth funni lool hahah ohhkayi lol wht call deer no eye no ideer haha classic umm suck haha
22,0,0,9,11,0,0,No,live forev wat live idkkk god not understndin srri like hah
45,0,0,0,7,0,0,No,could ask barack obama one question would oh snap would actual hug first ahah say quot nigga weed go quot hahaha jkjkjk love doin great job
21,0,0,0,2,0,0,No,could ask georg bush one question would lone boy
20,0,0,0,1,0,0,No,could star athlet sport sport would pick basketbal
25,0,1,2,2,0,0,No,could invit one person birthday parti whose would justin bieber bday parrtayi haha
28,0,0,2,4,0,0,No,could one tv show one would keep kardashian kendra fav show atm
18,0,0,0,2,0,0,No,could becom fiction charact would errmm harri potter lol
26,0,0,0,3,0,0,No,could chang name would chang that hard thinkin mayb bustin jieber think haha
20,0,0,0,3,0,0,No,could date celeiti would justin bieber chan tatum haha yumm
28,0,0,0,3,0,0,No,could eat dinner person dead aliv would would go michael jacko subway doh
54,0,0,0,2,0,0,No,could elimin one thing day bathroom never would put towel back fckn rack lol im lazi bhut look trashi keep tha floor
29,0,0,0,1,0,0,No,could go back time year tell younger self someth would life never go easi
32,0,0,0,2,0,0,No,could go road trip person dead aliv would would go justin bieber duh amp amp russia
35,0,0,0,2,0,0,No,could go vacat next month unlimit budget would go would travel thee world visit oversea besti shop everywher
28,0,0,0,2,0,0,No,could endless suppli food would get strawberri banana smoothi jack box yah dig
29,0,0,1,2,0,0,No,could author book would thee twilight book chuz got good mula babi
27,0,0,0,5,0,0,No,could make one person fall love would orthodontist docotr hahahaha jkjk lmao
27,0,0,1,3,0,0,No,could master one skill would never sin bhut never happen see im alreadi sin never say never
22,0,0,0,1,0,0,No,could listen one song next month would justin bieber
24,0,0,0,2,0,0,No,could read one magazin rest life would mmmag love
29,0,0,3,4,0,0,No,could rid world one thing would hoe ish lol um prob stupid bitch sin sin opppzz
16,0,0,0,2,0,0,No,could wake anyon tomorrow would
26,0,0,0,2,0,0,No,cook dinner someon tonight would make umm would go jack box haha
18,0,0,0,1,0,0,No,give one favorit food would difficult chocol
22,0,0,0,2,0,0,No,perform circu trick would read three finga haha
26,0,0,0,3,0,0,No,talk show would first three guest justin bieber demi lovato barack obama babay
25,0,0,1,3,0,0,No,shop spree store store would pick appl store need mac pro
21,0,0,0,3,0,0,No,million dollar would great question tith help peopl shop
41,0,0,0,6,0,0,No,hous fire could grab three thing would laptop dog famili shoe bed cloth coffe maker oven washer amp dryer refridger tabl amp chair pic camera bath tub hahahahahahhaha
12,0,0,0,2,0,0,No,ilov nose ring awhh love ur ear
14,0,0,1,5,0,0,No,ilove youuu bestfranhdd haa guesss whooo ilove maryyi rosseee hickkksss lol
6,0,0,0,2,0,0,No,ili ili boo
49,0,0,1,17,0,0,No,im good juz got bak srip vega awesom luve hav evah vega awhh yuh lucki ghurr bet yuh blast amp nahh ive never bhut would soo want go
18,1,0,2,9,1,0,No,singl yesssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss theee lasttt timee ask
42,0,0,3,3,0,0,No,justin bieber drive teacher oohh yess bahah gonna sumth els instead teach drive lmao hahahaha teachin ur stickshift mwhahahahahaha llalala love best frann
41,0,0,1,14,0,0,No,lol oo no guurrrl must crazi love muchoo uhhh lmao got lmao jkjk go like eva lezzzdoooittt love yo momma ahha
11,0,0,0,0,0,0,No,love babi love babe
25,0,0,1,12,0,0,No,mammaasss haha go skype yoooooooooooooo late haha church tmrw bhut soon kay srri
18,0,0,6,7,0,0,No,miley amp bieber miley hoochi bieber thee way ghurl boy
25,0,0,7,8,0,0,No,nope im not bianca either here clue come new zealand lol chrisssi hahahahah chantel alesha kaile tori lmfao iddkkkkk
33,0,0,6,13,0,0,No,nopee name start omfg nooo wayyyi ughhh broookkkeeee omfg im soo srri lmao lot pplz frmh zew zealand lmao fukkinnn luvv yuhhhh hahaha
22,0,0,9,4,0,0,No,oh visit travel world kthxbye xx hahah helllz yess mama love
23,0,0,1,11,0,0,No,omg justin bieber haha omg ahhhh go damn fell window sil haha jk
19,0,0,1,3,0,0,No,rate yurself love justin bieber scale ha
13,0,0,0,2,0,0,No,shut ur prettti shut prettier
19,0,0,0,3,0,0,No,sneaker sandal sandal sure wear thee winter no lie haha
32,0,0,2,9,0,0,No,sooooooo srri late im juzz doin mothur freakin bore zzzzzz zzzz snore snore lmbo hhahahahaah ohh noo problem mama ahah im soo exhaustedd yawn ywan lmao
38,0,0,0,3,0,0,No,girl background bottom right hand corner look like anna maria perez de tagl aww yeahh best friend raphaela haha german guess tht lmao
25,0,0,0,9,0,0,No,tht woul cool ikrr wud awesom wish
14,0,0,0,5,0,0,No,wat state live texa amp yuh hun xox
55,1,0,0,4,0,0,No,well dat tight ur friend wit feel kno sinc ur friend wud kno hav gf ohhkayi first offf playin mean realli nice person dnt kno like bhut ask
31,0,0,0,6,0,0,No,well say languag coba tebak ini bahasa apa kamu ngerti ngga aku ngomong apa huh doesnt make sens gun someth lmao come lol
19,0,0,1,3,0,0,No,excit right ummm summer bein almost isnt haha
18,0,0,2,5,0,0,No,dream last night shh dnt tell haha noth mwah
35,0,0,1,6,0,0,No,guy prefer jona other justin bieber ahhh love em would go justin bieber well older perfer
17,0,0,0,2,0,0,No,think formspr far da shit fun stuff
33,0,0,0,6,0,0,No,think attract featur eye light beautidul sun thank god oh hand ass lol jkjk
19,0,0,0,3,0,0,No,think greatest invent lifetim thee comp cellfonn hehe
17,0,0,0,2,0,0,No,kind glass guess haha no name
34,0,0,0,2,0,0,No,kind music not stand listen cannot listen heavi metal like rock oldi bhut not scari shit
22,0,0,0,4,0,0,No,music listen today everyth realli ahhaha lovin hiphop atm ester dean thee shyyttt
40,0,0,4,5,0,0,No,one thing except good urgh difficult answer haha umm prob fix comput ha ye said im like wiz fixin comp mom destroy ahaha
54,0,0,1,5,0,0,No,tv show wish would go air good hill chuz lauren thee whole point clld thee hill much drama bhut still wtch chuz love laugh thee dumb shit spencer prick btw
28,0,0,0,2,0,0,No,best concert went jona brother concert still love em bhut justin bieber thee shit
26,0,0,0,2,0,0,No,happiest moment life mani mani actual bhut guess found lifetim friend
13,0,0,0,1,0,0,No,last book read miracl worker
43,0,1,1,3,0,0,No,worst advic ever receiv person actual told quot fri quot not true friend want still person friend that nono
18,0,0,0,1,0,0,No,worst concert went never tht bad
29,0,1,0,4,0,0,No,worst job ever complain chuz dnt one hahaha soon though real soon
15,0,0,0,4,0,0,No,favorit birthday gift life haha umm idk that hard
27,0,0,1,3,0,0,No,favorit year haha bornwa year doh didnt anyth haha
34,0,0,4,5,0,0,No,worst travel experi ha goin georgia see dad mother ugh cnt stand bhut god bless soul long life stori haha
27,0,0,0,2,0,0,No,websit spend time oh good twitter ofcousr love twitter peep tha shit lol
14,0,0,0,2,0,0,No,would best workplac perk idk wait whaaaa lol
21,0,0,0,1,0,0,No,would perfect day look like amp god eatin chicken wing throne ahaha
27,0,2,1,5,0,0,No,one food never eat brussel srout yucki bhut love cabbag mini cabbag lmao
33,0,1,1,2,0,0,No,one thing probabl throw away never old school shit wud sooo throw away bhut mom urgh
47,0,2,0,5,0,0,No,best gift ever given import love bhut ive given peopl like let friend instead help see person import viseversa
44,0,1,2,6,0,0,No,best place near get drink hahaha wait wht kind drink lol well jackinthebox like not evn mile away frmh hous guess tht wht ur askin lmao xp
29,0,1,1,5,0,0,No,best place near get ice cream hmmm makin hungri first amp amp dairi queen yumm
30,0,1,0,4,0,0,No,best place near get ice cream umm diari queen jackinthebox smoothi cours not ice cream mwah
14,0,2,0,1,0,0,No,furthest ever travel virginia
23,0,2,0,3,0,0,No,longest ever gone without bath shower haha mayb day lol idk
37,0,2,1,4,0,0,No,delici meal ever wow hard dnt think ive mani love smoothi tho yummi
19,0,1,0,1,0,0,No,origin name idk month sure lol
18,0,2,0,2,0,0,No,weirdest thing ever eaten piec grass
21,0,2,0,3,0,0,No,weirdest thing ever eaten havent gotten part haha
30,0,1,0,3,0,0,No,best achiev wow awesom question think best achiev would quot find quot that thee import
12,0,1,0,1,0,0,No,biggest phobia ummmm messi room
27,0,1,1,6,0,0,No,dream car someth cute haha kno well beamer dream car basic porsh
23,0,1,1,6,0,0,No,earliest memori haha stare doctor thru sunglass mouth hahaha
26,1,1,0,7,0,0,No,fave song fav song girli umm amp run atm lot hbu
18,0,1,3,3,0,0,No,favorit drink mmm root beer haha fav drink eva pow
13,0,1,0,2,0,0,No,favorit food actual cabbag
12,0,1,1,2,0,0,No,favorit genr music pop
25,0,1,0,1,0,0,No,favorit movi quot crap hard haha umm quot peopl need inspir quot last song
13,0,1,0,1,0,0,No,favorit season year summer
13,0,1,0,2,0,0,No,favorit type flower pink rose
13,0,1,0,1,0,0,No,favourit colour pink amp neon green
23,0,1,1,5,0,0,No,favourit movi umm walk rememb last song ugh alot haha hbu
15,0,1,3,2,0,0,No,yur fav color pink amp neon green yeahh buddi
31,0,0,0,1,0,0,No,what ur fav tv showww umm good question mani bhut guess pregnant would fav one atm
22,0,0,3,4,0,0,No,ever go googl translat dont use trust hahaha wht tlkn bout girl
12,0,0,0,1,0,0,No,last time gave flower never
46,0,0,1,2,0,0,No,kid want grew actual kid want guess grow im go lol hard question answer
14,0,0,0,7,0,0,No,ya known mar
21,0,0,0,2,0,0,No,would like spend retir haha turn ish ask lol
13,0,0,0,2,0,0,No,would like live lo angel
21,0,1,0,3,0,0,No,ideal holiday destin umm dalla texa haha idk im plain idk mwhaha
23,0,0,0,2,0,0,No,first kiss umm long time ago bhut like haha cori
33,0,0,2,6,0,0,No,top three celeiti crush yumm justin bieber diddi son jdoir yummm haha not realli celeb bhut yeah amp amp chan fckn tatum haha oh damn
24,0,0,2,3,0,0,No,twitter besti ohh mann great chrissi michel savannah aj bianca lotss
24,0,0,0,3,0,0,No,think next presid unit state umm barack obama anoth year ilovehim
21,0,1,0,1,0,0,No,best teacher ever mmmh second grade teach mr caldwel
27,0,1,1,1,0,0,No,funniest person know prob seester robbi hahaha make wanna shit everytim speak lol
20,0,2,0,3,0,0,No,famou person met urgh no yet keep hopin though
21,0,1,0,2,0,0,No,overr athlet michael jackson haha wait wrong one michael jordon meant ahah
13,0,1,0,2,0,0,No,prettiest person know idkk mwauuuhhh
23,0,1,0,3,0,0,No,sexiest woman aliv not judg gyrl im not bi lezzboo thank
15,1,1,1,2,0,0,No,smartest person know sure lmao
44,0,0,1,2,0,0,No,like lil kid like justin beiber umm bigga heart ever start hate yr old obvious addict get fact straight kay
29,0,2,3,2,0,0,No,like beiber kid much lame sing umm kno wht wtf ever stop hatin
30,0,1,2,21,0,0,No,woaahhhhhh like dude youhr backround awesomeee ilybbyy marryyyyi lol itss yuhh boo hahaha noo durr suckkaaa nahhh lovee yuhhhh moooee
32,0,0,0,4,0,0,No,would ever go bunge jump like justin hahaha think would alway thee shizz thee tyme ye would hbu
23,0,0,0,3,0,0,No,would rather famou musician famou actor not guy haha mayb cheerlead haha jkjk
22,0,0,0,3,0,0,No,would rather vampir werewolf werewolf aka jacob pride lol good part lol
14,0,0,0,2,0,0,No,would rather zombi mummi zombi sho
17,0,0,1,2,0,0,No,would rather rich famou famou bhut im rite
21,0,0,1,3,0,0,No,would rather date lot differ peopl commit relationship lol jk
15,0,0,2,4,0,0,No,would rather get earli sleep late sleep late duh
26,0,0,1,6,0,0,No,would rather luxuri yacht privat jet jet hate boat worst experi ever boat never
14,0,0,0,1,0,0,No,would rather swim pool ocean pool
17,0,0,0,2,0,0,No,would rather work larg compani small one none haha
43,0,2,0,5,0,0,No,yea differ warm cali cool weeeell gtg gonna meet friend minut lol bye xx ohh man bet tha shit ohhkayi safe fun
30,0,0,0,6,0,0,No,yeh right no bf yehh hahaha idk weird boy boy im alon hahah
13,0,0,0,1,0,0,No,yooooo mate rinnalovesjb heyhey ask anyth hahaha ight
70,0,0,2,5,0,0,No,need delet tweet not funni know mani peopl die day includ father umm im truli sorri bhut didnt mean anyway like obvious got offend said wasnt funni get angri nd shit ill delet tweet kthank btw rip ur daddi
18,0,0,0,4,0,0,No,attitud fun thank yuh soo muchh im likin yur mwah
15,0,0,0,2,0,0,No,nada ummm didnt know jose first kiss
18,0,0,0,4,0,0,No,lol no freak way btw didnt ask no freak way
12,0,0,1,5,0,0,No,ahhh true true plu play music xd exactli
21,0,0,0,2,0,0,No,give one favorit food would difficult ahh probabl cooki
10,0,0,0,0,0,0,No,pshhh liar haha im not liar
11,0,0,0,2,0,0,No,eat eakfast today cereal
15,0,0,0,2,0,0,No,think attract featur ewwie noth haha
19,0,1,0,3,0,0,No,one thing live without right hahaha
15,0,0,0,1,0,0,No,biggest accomplish ummm probabl play softbal year
18,0,0,0,1,0,0,No,favorit birthday gift neckalc given love
16,0,1,0,5,0,0,No,best place near get drink starbuckk
37,0,1,0,1,0,0,No,favourit part watch rent hmmmm think part te guy support sing tht part make tear la bohem good one two
26,0,1,0,2,0,0,No,find formspr umm bunch peopl join got bore want
18,0,0,0,0,0,0,No,ur first kiss umm haha dont know want kn
12,0,0,0,5,0,0,No,perfect hahaha im farthest
12,0,0,0,0,0,0,No,wear not wear
9,0,0,0,1,0,0,No,boyfriend yess
13,0,0,0,5,0,0,No,come parti tonightt iss thiii
