count_words,count_mentions,count_hashtags,count_capital_words,count_excl_quest_marks,count_urls,count_emojis,clean_text
17,0,0,0,0,0,0,jizz pic alllllll time not creepi
10,0,0,1,1,0,0,lovey love
36,0,1,0,1,0,0,worst thing friend first way attack phone th grade pretti dumb haha
13,0,0,0,0,0,0,lmao put co instead com lmao dork
12,0,0,0,0,0,0,maryy tabi noooooooooooooo dont name
54,0,0,1,2,0,0,get drunk quickli actual tend drink way friend feel affect alcohol think talli vodka coke still drunk tipsi eventu gave lol
21,0,0,0,3,0,0,margarita pina colada daiquiri pina colada margarita daiquiri pretti tasteless im honest
9,0,0,0,0,0,0,yeaaaaaah im fine thnk teeheehe
18,0,1,0,0,0,0,no fun must dull life loser
12,0,0,0,1,0,0,magic lol see
46,0,2,0,1,0,0,nicest thing someon ever done nicest thing someon ever done would probali sam sister told no reason realli good person stuff
13,0,0,0,0,0,0,fuck love yur sexi ass ili teww hun
20,0,1,0,1,0,0,kidnap alien feed alien ain go figur haha
39,0,0,1,3,0,0,last one would accept leav countri never set foot would go would ye right brazil rich baron
45,0,0,0,2,0,0,nuu uhh mmmmmm awhil ago like idk realli haha kept textin offa dk phone likeeee week ago mayb buhh dont worri friendli friend stuff haha member guy ment
15,0,1,0,0,0,0,funni creepiest way aww thank babygirl
50,0,0,1,0,0,0,stalker ever wrote say fake guy not marri porn site ect pleas let know inbox right site get shut get one exampl kool
4,0,0,1,3,0,0,asshol
8,0,0,0,1,0,0,favourit quot tonsss
49,0,0,0,2,0,0,ever moment school work sleepi canut keep eye open much tri keep flutter close manag keep awak go outsid eath deep
10,0,0,0,1,0,0,you bitch nd hoe uh huh
13,0,0,0,0,0,0,im better tthan youu haha shut anthoni suck
11,0,0,0,2,0,0,cuz jizz pant hahaha yeaaah
11,0,0,0,1,0,0,think demon real ehh mayb
9,0,0,0,0,0,0,lauraa lauraaa babi hoeeeeee
30,0,2,0,6,0,0,hello bitch ur day go good hope beauti sunni ohh heyi bitchh goin good thx askin
19,0,0,1,2,0,0,would ever meet someon onlin sex no no
77,0,0,2,1,0,0,im sorri im not one fake ladi lol comeon damn self im not fuck mental know js mean think need stfu get damn life instead beng fake girl btw nice comeback say mental put peopl mean duh comeback suck
30,0,0,0,1,0,0,got hook burrito place love asian speak spanish lol free food lmao awww im hungri come cook plz
5,0,0,0,0,0,0,follow follow
30,0,0,0,1,0,0,like kid fun outgo blunt like year old year old bodi haha
11,0,0,0,1,0,0,favorit candi eat candi
16,0,0,0,1,0,0,know dog treat tast like nope imagin
15,0,1,0,0,0,0,wasssssup cooo ask shit sometim oki
11,0,0,0,0,0,0,ye never wash bewbeez
34,0,0,0,1,0,0,like preserv memori ex mani peopl like keep trinket past write journal take pictur ect take pic
12,0,0,0,1,0,0,ever read lamebook postsecret nope sorri
21,0,0,0,1,0,0,back vehicl good drive one forward lol wana watch lol
23,0,0,0,1,0,0,what favorit myspac facebook myspac freedom creativ facebook social aspect
25,0,0,0,1,1,0,watch pass huh wat take look tho lol
10,0,0,0,0,0,0,nude gtfo take right
16,0,0,0,1,0,0,call gmac moo ye call
11,0,0,0,0,0,0,pretti thank kiddo
31,0,0,0,1,0,0,fuck no im not jealou ugli ass freak bitch suck fucken dick say shit face fuckin pussi
18,0,0,0,0,0,0,pictur look shop told monitor punch face like
9,0,0,0,0,0,0,hi assle asshol hi anonym
21,0,0,0,40,0,0,im gonna stalk hard till hurt lol ok gota lol
72,0,0,0,3,0,0,want children boy girl yeah definit want kid know obvious cant tradit way would want im settl steadi relationship heathi incom im abl look no prefer girl boy whenev time right either would fantast
15,0,0,0,1,0,0,unbeliev way peopl
24,0,0,0,1,0,0,ever seen therapist nope sometim sure wish someon could pour thought
24,0,2,0,4,0,0,ever watch guid recognis saint no good whatev
25,0,1,0,6,0,0,home page shit homepag talk even
22,0,0,0,1,0,0,middl finger longer ring finger actual not hand would look scari
24,0,0,0,2,0,0,cant ppl understand happen gabe yall buis appar not annoy like hell
13,0,0,0,0,0,0,hey fuck jerk fuck love
26,0,0,0,0,0,0,didnt work text realli blow umm yea soo think code someth
57,0,1,1,2,0,0,read tokyo japan expect pay movi ticket ok even movi ticket even movi ticket run live think expens around ok
37,0,0,0,3,0,0,ever thought reason live mean never know kinda confus think shit babi
33,0,0,1,1,0,0,current nois hear right hear insanli annoy buzz come someplac uncl fishtan air condition
21,0,0,0,1,0,0,die would sad would caus apart life
15,0,1,0,0,0,0,fuck pathet comment formspr
21,0,0,0,1,0,0,last thing said someon love mom
9,0,0,0,1,0,0,im bore da partiez
10,0,0,0,1,0,0,slang bastard dude where car
13,0,1,1,0,0,0,month younger baaaaybeee
16,0,0,0,1,0,0,tell san marco california
38,0,0,11,3,0,0,go movi wif didnt even see show shirtless bloodi know dude fuckin find fucker hahah no way guy got bloodi
22,0,2,0,2,0,0,fuck like like tabitha like girl lead well that
28,0,0,0,3,0,0,one thing absolut cannot stand prevent societi sloppi peopl
34,0,0,0,0,0,0,look clock apo weird that weird alway mayb batter ree dead set lmao
7,0,0,0,0,0,0,spam please oki
19,0,0,0,1,0,0,ever felt like king everi day day
32,0,0,0,2,0,0,would partner cheat ever heard song carri underwood cheat littl spice ahahaha
28,0,1,0,0,0,0,shall go togeth like end harold amp kumar go white castl sound like perfect date
42,0,0,0,3,0,0,act nice peopl stay ock ummm wtf still might go weatherford ever mean stand
16,0,0,0,2,0,0,appropri age sex marri sex marri
20,0,0,0,1,0,0,like tri new thing depend new thing sure
34,0,1,0,1,0,0,see three teenag make fun mental handicap man street would kick ass kick ass
62,0,0,0,5,0,0,one talkin shit back fuckstick mean serious th grade get know th grader badass get fuck ass hard kid abl sit first year live
18,0,0,0,2,0,0,ship real peopl oh hell yeah real peopl extend ship abil
60,0,0,0,6,0,0,oh man vision kind blur moment lmbo heck oo apo optometrist right tell apo wrong vision moment ye optometrist shay mean that caus bad health not nuff carrot vitamin young ladi lol
14,0,1,1,3,0,0,text facebook textbook studi right yepper lmao
51,0,0,0,2,0,0,ever physic fight ye mani older sister miss commun end per usual end rip shirt hair hand lmao runni poor dad lol
17,0,1,0,1,0,0,favorit music genr emarosa genr haha
16,0,1,0,1,0,0,text right yeah
23,0,0,0,1,0,0,know telsa car electr sport car noo ill look wat great first
23,0,0,1,1,0,0,word misspel dictionari would ever know dictionari neverrrrr wrong say
19,0,0,0,0,0,0,im da wun da blue behind zach yo wallpap nice back
